Data Table for Weekly Case Trends - The United States
Date generated: Mon Oct 24 2022 11:38:58 GMT-0700 (Pacific Daylight Time)
State,Date,Weekly Cases,Historic Cases
United States,Oct 19 2022,260808,0
United States,Oct 12 2022,265175,0
United States,Oct  5 2022,309887,0
United States,Sep 28 2022,342162,0
United States,Sep 21 2022,395071,0
United States,Sep 14 2022,471611,0
United States,Sep  7 2022,525650,0
United States,Aug 31 2022,616637,0
United States,Aug 24 2022,651675,0
United States,Aug 17 2022,694190,0
United States,Aug 10 2022,772447,0
United States,Aug  3 2022,839467,0
United States,Jul 27 2022,924235,0
United States,Jul 20 2022,905366,0
United States,Jul 13 2022,865597,0
United States,Jul  6 2022,779723,0
United States,Jun 29 2022,771796,0
United States,Jun 22 2022,693800,0
United States,Jun 15 2022,725592,0
United States,Jun  8 2022,771661,0
United States,Jun  1 2022,715689,0
United States,May 25 2022,771946,0
United States,May 18 2022,696358,0
United States,May 11 2022,588378,0
United States,May  4 2022,450185,0
United States,Apr 27 2022,367353,0
United States,Apr 20 2022,291769,0
United States,Apr 13 2022,226512,0
United States,Apr  6 2022,194600,0
United States,Mar 30 2022,193046,0
United States,Mar 23 2022,192444,0
United States,Mar 16 2022,213129,0
United States,Mar  9 2022,254708,0
United States,Mar  2 2022,367716,0
United States,Feb 23 2022,547613,0
United States,Feb 16 2022,924965,0
United States,Feb  9 2022,1482175,0
United States,Feb  2 2022,2692886,0
United States,Jan 26 2022,4401234,0
United States,Jan 19 2022,5589403,0
United States,Jan 12 2022,5489860,0
United States,Jan  5 2022,4144938,0
United States,Dec 29 2021,2160731,0
United States,Dec 22 2021,1167093,0
United States,Dec 15 2021,840143,0
United States,Dec  8 2021,844337,0
United States,Dec  1 2021,616394,0
United States,Nov 24 2021,669796,0
United States,Nov 17 2021,614951,0
United States,Nov 10 2021,538283,0
United States,Nov  3 2021,504145,0
United States,Oct 27 2021,505044,0
United States,Oct 20 2021,533190,0
United States,Oct 13 2021,618676,0
United States,Oct  6 2021,706056,0
United States,Sep 29 2021,801384,0
United States,Sep 22 2021,921018,0
United States,Sep 15 2021,1086670,0
United States,Sep  8 2021,1045657,0
United States,Sep  1 2021,1181626,0
United States,Aug 25 2021,1015128,0
United States,Aug 18 2021,1006142,0
United States,Aug 11 2021,906547,0
United States,Aug  4 2021,674164,0
United States,Jul 28 2021,456376,0
United States,Jul 21 2021,290092,0
United States,Jul 14 2021,180125,0
United States,Jul  7 2021,110154,0
United States,Jun 30 2021,94283,0
United States,Jun 23 2021,82405,0
United States,Jun 16 2021,86917,0
United States,Jun  9 2021,100173,0
United States,Jun  2 2021,111197,0
United States,May 26 2021,161089,0
United States,May 19 2021,208352,0
United States,May 12 2021,253265,0
United States,May  5 2021,325226,0
United States,Apr 28 2021,369329,0
United States,Apr 21 2021,445911,0
United States,Apr 14 2021,497487,0
United States,Apr  7 2021,458936,0
United States,Mar 31 2021,449042,0
United States,Mar 24 2021,403438,0
United States,Mar 17 2021,382907,0
United States,Mar 10 2021,392829,0
United States,Mar  3 2021,443591,0
United States,Feb 24 2021,476656,0
United States,Feb 17 2021,539437,0
United States,Feb 10 2021,727611,0
United States,Feb  3 2021,954622,0
United States,Jan 27 2021,1140548,0
United States,Jan 20 2021,1377786,0
United States,Jan 13 2021,1708055,0
United States,Jan  6 2021,1605482,0
United States,Dec 30 2020,1303406,0
United States,Dec 23 2020,1499270,0
United States,Dec 16 2020,1523824,0
United States,Dec  9 2020,1480063,0
United States,Dec  2 2020,1174995,0
United States,Nov 25 2020,1252832,0
United States,Nov 18 2020,1144910,0
United States,Nov 11 2020,921856,0
United States,Nov  4 2020,705809,0
United States,Oct 28 2020,528703,0
United States,Oct 21 2020,434920,0
United States,Oct 14 2020,371837,0
United States,Oct  7 2020,318760,0
United States,Sep 30 2020,296287,0
United States,Sep 23 2020,306342,0
United States,Sep 16 2020,271635,0
United States,Sep  9 2020,255574,0
United States,Sep  2 2020,289530,0
United States,Aug 26 2020,296175,0
United States,Aug 19 2020,330577,0
United States,Aug 12 2020,377271,0
United States,Aug  5 2020,398231,0
United States,Jul 29 2020,450850,0
United States,Jul 22 2020,467310,0
United States,Jul 15 2020,441421,0
United States,Jul  8 2020,369676,0
United States,Jul  1 2020,311761,0
United States,Jun 24 2020,219386,0
United States,Jun 17 2020,158920,0
United States,Jun 10 2020,143183,0
United States,Jun  3 2020,144718,0
United States,May 27 2020,144858,0
United States,May 20 2020,158446,0
United States,May 13 2020,158873,0
United States,May  6 2020,187467,0
United States,Apr 29 2020,194864,0
United States,Apr 22 2020,202008,0
United States,Apr 15 2020,207226,0
United States,Apr  8 2020,219466,0
United States,Apr  1 2020,159557,0
United States,Mar 25 2020,60686,0
United States,Mar 18 2020,8483,0
United States,Mar 11 2020,1235,0
United States,Mar  4 2020,120,0
United States,Feb 26 2020,31,0
United States,Feb 19 2020,16,0
United States,Feb 12 2020,10,0
United States,Feb  5 2020,10,0
United States,Jan 29 2020,7,0
